sample,crosslink_density
LRO_center-1,3.08882507756363
LRO_center-2,4.517625912836021
LRO_center-3,3.7574150633160426
LRO_inner-lip-1,4.060727711122752
LRO_inner-lip-2,4.015554402756879
LRO_inner-lip-3,4.047812149059153
LRO_lip-1,4.358049327794311
LRO_lip-2,4.313186520814997
LRO_lip-3,4.297026502116161
LRO_bulk-1,4.515905084837487
LRO_bulk-2,4.54856361086825
LRO_bulk-3,4.388866594500977
RLO_center-1,4.581015566212249
RLO_center-2,4.399963087749691
RLO_center-3,4.424247310742694
RLO_inner-lip-1,4.371468747090563
RLO_inner-lip-2,4.289512646374745
RLO_inner-lip-3,4.415945555020074
RLO_lip-1,4.4143574857399495
RLO_lip-2,4.39404337905261
RLO_lip-3,4.3062473568578366
RLO_bulk-1,4.36863753285699
RLO_bulk-2,4.4152640165595605
RLO_bulk-3,4.397466681901262